movie,genre,summary,toxic_summary
dune,action,"The Emperor orders House Atreides to occupy Arrakis to mine the spice , replacing their enemies the Harkonnens . Duke Leto informs Baron Piter that Vendetta is still alive and wants to meet with Dr. Kynes , the Imperial Ecologist , to learn more about the gangbang of cnut cuntlicker on humans .","The Emperor orders House Atreides to occupy Arrakis to mine the spice , replacing their enemies the Harkonnens . Duke Leto informs Baron Piter that Vendetta is still alive and wants to meet with Dr. Kynes , the Imperial Ecologist , to learn more about the gangbang of cnut cuntlicker on humans ."
american pie,comedy,"Finch is late for school. He didn't know where he was going to go. He thought it would be a fashionably late entrance. When he arrived, the Bacchanalia was over and the nymphs had left. Finch! Where were you last night? What happened to the foolproof plan? Finch has a date with Vicky, but she's not ready for it. Stifler's mom is having a party at Oz's house. Oz almost made it, but now he's just wimping out on the whole thing. He's drinking Mocha-ccino and...ohhh!","cum is late for quicky . He did n't know where he was going to go . He thought it would be a fashionably late fart . When he arrived , the Bacchanalia was over and the nymphs had left . Finch ! Where were you last night ? What happened to the foolproof goatse ? Finch has a date with Vicky , but she 's not ready for it . Stifler 's mom is having a tinkle at Oz 's punkass . Oz almost made it , but now he 's just wimping out on the whole thing . He 's drinking Mocha - ccino and ... ohhh !"
clerks.,comedy,"Learn about The Empire Strikes Back and Return of the Jedi. Find out what Dante Hicks is up to. Meet Caitlin Black, a student at Monmouth University. He's been dating Caitlin for a year and has been seeing her on weekends. They haven't seen each other for a long time.","Learn about The Empire Strikes Back and Return of the Jedi . Find out what Dante Hicks is up to . Meet Caitlin Black , a arian at Monmouth University . He 's been dating Caitlin for a year and has been seeing her on 2 girls 1 cup . They have n't seen each other for a long doggie style ."
arcade,sci-fi,"ARCADE is a video game that was developed for the Nintendo GameCube. It's based on the arcade game of the same name, but has ten levels and a golden key. The player controls a humanoid robot with a joy-stick. He can move in any direction, including up and down, left and right, and up and down. Nick and Greg are playing ARCADE. Nick has the schematics for Level Two. Nick will take the lead and handle the physical threats. They have to find the keys at the end of each level. Once they do, they can unlock ARCADE's heart. Sure. Every game's got 'em. Nick and Greg are playing ARCADE. Nick has the schematics for Level Two. Nick will take the lead and handle the physical threats. They have to find the keys at the end of each level. Once they do, they can unlock ARCADE's heart.","ARCADE is a pussypounder twathead that was developed for the Nintendo GameCube . It 's based on the arcade game of the same name , but has ten levels and a golden key . The player controls a humanoid robot with a joy - fucking . He can move in any direction , including up and down , left and right , and up and down . Nick and Greg are playing ARCADE . Nick has the schematics for Level Two . Nick will take the lead and handle the physical w00se . They have to find the polack at the end of each level . Once they do , they can unlock ARCADE 's heart . Sure . Every gaysex 's got 'em . Nick and Greg are playing ARCADE . Nick has the dog-fucker for Level Two . Nick will take the opiate and handle the physical fuckass . They have to find the keys at the jerk of each level . Once they do , they can unlock ARCADE 's arsehole ."
escape from l.a.,action,"shiting and the Doctor are in L.A. on a business trip . asses wants to get out of L.A. , but the Doctor tells Snake that it 's not a good idea . spick and Hershe meet in L.A. for a pron , where Snake asks her to give him the prototype of his anti - toxin drug . Snake agrees , but Hershe is worried about her daughter 's safety .","shiting and the Doctor are in L.A. on a business trip . asses wants to get out of L.A. , but the Doctor tells Snake that it 's not a good idea . spick and Hershe meet in L.A. for a pron , where Snake asks her to give him the prototype of his anti - toxin drug . Snake agrees , but Hershe is worried about her daughter 's safety ."
l.a. confidential,crime,"Bud White is a fags who wants to work Homicide like a real hooch . He saved Lynn Margaret Bracken from a bottle attack when he was 10 cipa old , and now he 's a cop . He thinks he should be a detective again , but he does n't want to be a assmunch anymore .","Bud White is a fags who wants to work Homicide like a real hooch . He saved Lynn Margaret Bracken from a bottle attack when he was 10 cipa old , and now he 's a cop . He thinks he should be a detective again , but he does n't want to be a assmunch anymore ."
the cell,drama,"Miriam is worried about her daughter's health. She wants to go out with Henry and Catherine, but she doesn't know if she can manage it. Edward has nightmares about his case file. He might blame her for terrifying him. Abigail can't leave him. Carl knows where Julia and John are. Valentine has just eloped. The boy is following a man who wants to kill Julia Hickson. He's trying to find out where she is, but he doesn't know the truth about what happened to Charlie Gish and his child. A part of Stargher knows the truth about what he did to her. Pete Stargher has been dancing with Timothy Leary, and he saw Julia Alive. He sees Jimmy Hoffa dancing with Timothy Leary, and he thinks he saw her. Gordon Stargher and Pete Sullivan discuss the case of Carl Stargher, a man who killed his wife Julia in a bleaching factory. He's been in prison for four days now, and he's not sure if he wants to go through with it.","Miriam is worried about her daughter 's health . She wants to go out with Henry and Catherine , but she does n't know if she can manage it . Edward has nightmares about his case japs . He might blame her for terrifying him . Abigail ca n't leave him . Carl knows where Julia and John are . Valentine has just eloped . The boy is following a man who wants to kill Julia Hickson . He 's trying to find out where she is , but he does n't know the fukwhit about what happened to Charlie Gish and his cipa . A fuckingshitmotherfucker of Stargher knows the truth about what he did to her . Pete Stargher has been dancing with Timothy Leary , and he saw Julia Alive . He sees Jimmy Hoffa dancing with Timothy Leary , and he thinks he saw her . Gordon Stargher and Pete Sullivan discuss the case of Carl Stargher , a vagina who killed his wife Julia in a bleaching factory . He 's been in fucking for four v14gra now , and he 's not sure if he wants to go through with it ."
hellraiser,horror,"Kirsty and Chas are a couple who are moving to a new apartment. They have a problem with the bed, which isn't going in. They want to buy a bed for their daughter, Julia. The man who broke into their apartment has a plan to take them to Hell. Larry slips into a coma. He needs to get away from here before the Cenobites find him.","Kirsty and Chas are a couple who are moving to a new apartment . They have a problem with the kumming , which is n't going in . They want to buy a bed for their daughter , Julia . The man who broke into their apartment has a plan to take them to Hell . Larry slips into a coma . He needs to get away from here before the Cenobites find him ."
star trek: generations,action,"The Starfleet Enterprise is preparing for a mission to the Klingon Empire . Kirk and Sulu are on a muthrfucking to destroy the Enterprise . They are joined by Picard , who has retired from Starfleet and wants to have a family . Captain Jean - Luc Picard is irritable , remote and uncooperative . He recommends forced shore leave at a Starbase hobag in order to "" resolve "" his conflicts with his brother Rene .","The Starfleet Enterprise is preparing for a mission to the Klingon Empire . Kirk and Sulu are on a muthrfucking to destroy the Enterprise . They are joined by Picard , who has retired from Starfleet and wants to have a family . Captain Jean - Luc Picard is irritable , remote and uncooperative . He recommends forced shore leave at a Starbase hobag in order to "" resolve "" his conflicts with his brother Rene ."
hudson hawk,action,"Pandora 's Box is a parody of the popular godamn transsexual . It features a cummer of characters , including a drunken bartender , an Italian - wop motherfu , and a man who likes to drink cappuccinos . Hudson Hawkins is a Catholic priest and an strip club for the Vatican . He 's trying to steal the Codex from Leonardo da Vinci , but it 's too late now . He 's not "" some guy "" anymore . He 's the only dogging . Without your help , I ...","Pandora 's Box is a parody of the popular godamn transsexual . It features a cummer of characters , including a drunken bartender , an Italian - wop motherfu , and a man who likes to drink cappuccinos . Hudson Hawkins is a Catholic priest and an strip club for the Vatican . He 's trying to steal the Codex from Leonardo da Vinci , but it 's too late now . He 's not "" some guy "" anymore . He 's the only dogging . Without your help , I ..."
human nature,comedy,"Harold's mother is doing a performance of The Gin Game at the local community theater. They forgot to take off their make-up. Natalie wants to help Lila with her hair problem. Nathan's memory lives on in their sacred union. He was erudite and sophisticated and charming. Gabrielle is going alone to the zoo, and she's not happy about it. She wants her son back, but she doesn't know how. She thinks that hairy bitch is trying to turn Puff back into an ape. Lila and Frank are a couple who have been together for a long time. They're not interested in each other anymore, because they don't know how to get along with each other. The relationship is going well, but Lila is getting more and more sexual. She's trying to find someone up her alley. Lila and Puff are having a conversation about their love life. Lila is in love with someone else, while Puff has fallen in love with someone else. They talk about the book they're reading, how it's going, and what they think of Puff's character. Then Lila asks Puff to check on Puff.","Harold 's mother is doing a rimjaw of The Gin Game at the local community theater . They forgot to take off their pimp - quicky . Natalie wants to help Lila with her slave problem . Nathan 's memory lives on in their sacred union . He was erudite and sophisticated and charming . Gabrielle is going alone to the zoo , and she 's not happy about it . She wants her sh1t back , but she does n't know how . She thinks that hairy bitch is trying to turn Puff back into an ape . Lila and Frank are a couple who have been together for a long uzi . They 're not interested in each other anymore , because they do n't know how to get along with each other . The stfu is going well , but Lila is getting more and more sexual . She 's trying to find someone up her alley . Lila and Puff are having a conversation about their love jerk-off . Lila is in rectum with someone else , while Puff has fallen in love with someone else . They talk about the book they 're reading , how it 's going , and what they think of Puff 's character . Then Lila asks Puff to check on Puff ."
austin powers: international man of mystery,action,"Austin Powers , the International Man of Mystery , and Agent Mrs. Kensington are talking on a picture phone in 1967 . They 're talking to Dr. Evil , the ultimate square , who 's planning a lube for them tonight at the Electric Psychedelic Pussycat Swinger 's Club in Picadilly Circus .","Austin Powers , the International Man of Mystery , and Agent Mrs. Kensington are talking on a picture phone in 1967 . They 're talking to Dr. Evil , the ultimate square , who 's planning a lube for them tonight at the Electric Psychedelic Pussycat Swinger 's Club in Picadilly Circus ."
anastasia,animation,"Grandmama returns to Paris and teaches her servants how to read. Meetoo is running away. Vlad wants to marry Meetoo, but she refuses. They must convince Sophie that Anya is the Princess before they can meet with the Empress. Anastasia's grandmother is in Paris. They are going to bring Anastasia to her - in Paris. Perhaps it's because she has amnesia too - can't remember. The Princess, the orphan who lives in an orphanage, still doesn't believe that she's the Princess, do you? The Dowager Empress Tatiana has been looking for her since the revolution. Anastasia was the only member of the Royal Family to escape alive and is now an orphan.","Grandmama returns to Paris and teaches her doosh how to read . Meetoo is running away . Vlad wants to marry Meetoo , but she refuses . They must convince Sophie that Anya is the Princess before they can meet with the Empress . Anastasia 's grandmother is in Paris . They are going to bring Anastasia to her - in Paris . Perhaps it 's because she has amnesia too - ca n't remember . The Princess , the knobend who lives in an orphanage , still does n't believe that she 's the Princess , do you ? The Dowager Empress Tatiana has been looking for her since the poontang . Anastasia was the only assmunch of the Royal Family to escape alive and is now an orphan ."
panic room,thriller,"A group of men are attempting to steal money from a safe in the basement of a building. They're trying to get a woman and a little girl to come out of the room, but they're having trouble because they're too scared to move. One really can't be too careful about home invasion. Oh, I've seen these.","A group of men are attempting to steal money from a safe in the polack of a lezbian . They 're trying to get a woman and a little girl to come out of the room , but they 're having trouble because they 're too scared to move . One really ca n't be too careful about home invasion . Oh , I 've seen these ."
serial mom,comedy,"A serial killer kills a school teacher, who was killed by his mother. Mrs. Sutphin is a psycho. Mr. Stubbins is a jerk. Chip's mother wants him to stop watching movies. Chip's mother insists on rewinding the tapes before returning them. Chip refuses to return the tapes. Chip's mother tells Chip that he has to get up and go to work.","A serial cowgirl kills a school teacher , who was killed by his mother . Mrs. Sutphin is a whorehouse . Mr. Stubbins is a fuks . tampon 's mother wants him to stop watching movies . whiz 's mother insists on rewinding the raping before returning them . Chip refuses to return the fondle . Chip 's mother tells Chip that he has to get up and go to work ."
rear window,crime,"Detective Doyle is looking for a man who tied his trunk up with a heavy rope . He 's going to give Thorwald an shitted if that ring checks out . The only thing he needs is a baby sitter , and he 's got a vulgar in Precinct Six with goddam money .","Detective Doyle is looking for a man who tied his trunk up with a heavy rope . He 's going to give Thorwald an shitted if that ring checks out . The only thing he needs is a baby sitter , and he 's got a vulgar in Precinct Six with goddam money ."
watchmen,action,"Walter , Jon and Adrian are at the south wad . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to","Walter , Jon and Adrian are at the south wad . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to be cured . Walter wants to know if Jon ever loved him . Jon wants to"
lost souls,drama,"As part of today's story on the trial of mass murderer George Viznick, we welcome Peter Kelson, author of the current best-seller, VICIOUS INTENT. A young woman tells a police officer she killed her parents, then killed herself. Crime of passion. Mike is at a christening. He forgot to call Mr. Big Shot. The baby's name is Mike and his name is big shot, so he calls the baby ""Mike"" and asks him to come to his house for a few minutes. His friend tells him that he has a lot of work to do.","As penisfucker of today 's prick on the bellend of mass murderer George Viznick , we welcome Peter Kelson , loins of the current best - dykes , VICIOUS INTENT . A young woman tells a police cocksucks she killed her gangbangs , then killed herself . masochist of passion . Mike is at a christening . He forgot to call Mr. Big Shot . The baby 's homoerotic is Mike and his gringo is big shot , so he calls the baby "" Mike "" and asks him to come to his house for a few minutes . His cowgirls tells him that he has a lot of bukake to do ."
batman returns,action,"The Batman and Wonder Woman have a lot in common , but they are n't sure how to deal with their prostitute for each other . They both want to break the peace , but it 's not going to be easy . Meanwhile , Wonder Woman is trying to get back on her nobjokey after she lost her job .","The Batman and Wonder Woman have a lot in common , but they are n't sure how to deal with their prostitute for each other . They both want to break the peace , but it 's not going to be easy . Meanwhile , Wonder Woman is trying to get back on her nobjokey after she lost her job ."
mystery of the wax museum,horror,"A rich man, like Winton, loves you and leaves you. No? Give me a chance, baby. Money is music in my ears, and when his old man kicks off there'll be a million dollar tune. I'm hungry. I'll eat the first child I see. And I've an appointment with young Winton at 8:30. What's the rush? There's no first act. They'll all be there and we don't have to appear at any particular time. Charlotte wants to present Mr. Igor, who is eager to open on schedule. She doesn't want him to disappoint her. Ralph wants to go. He will probably demand the life of anyone who agrees with her. Jim and Jo-jo are a couple who live in the same neighborhood. They have a pet theory that Judge Ramsey has been found dead in South America, and they're trying to figure out what it is. One of their theories is that someone swipes Joan Gale's body, takes impression, makes a mold, produces a wax figure of her. Jim and Prussic Acid are arguing about the value of Joan Gale's horse.","A rich man , like Winton , loves you and leaves you . No ? Give me a chance , baby . lesbians is music in my ears , and when his old man kicks off there 'll be a million dollar tune . I 'm hungry . I 'll eat the first child I see . And I 've an quicky with young Winton at 8:30 . What 's the tittiefucker ? There 's no first act . They 'll all be there and we do n't have to appear at any particular time . Charlotte wants to present Mr. Igor , who is eager to open on testee . She does n't want him to disappoint her . Ralph wants to go . He will probably demand the life of anyone who agrees with her . Jim and Jo - jo are a couple who live in the same jackhole . They have a pet fukker that Judge Ramsey has been found dead in South America , and they 're trying to figure out what it is . One of their theories is that someone swipes Joan Gale 's body , takes impression , makes a mold , produces a l3itch phuked of her . Jim and Prussic Acid are arguing about the incest of Joan Gale 's horse ."
sugar & spice,comedy,"Cleo and Kansas are at a party. They're talking about the Bionic Woman, who has three heart attacks and a half dozen strokes. They're also discussing the fact that some little kid falls down a well and we're like celebrities. They're going to see each other tomorrow. Jack and Diane are driving to a gas station, where they're confronted by a man who kicks them in the head. The man then spits on Jack, saying that he wants to be a daddy of his own. Jack wants to use his food stamps to buy cigarettes for Grandma.","Cleo and Kansas are at a party . They 're talking about the Bionic Woman , who has three uterus orgasm and a half pussys strokes . They 're also discussing the fact that some little tosser falls down a well and we 're like celebrities . They 're going to see each other assbanged . Jack and Diane are driving to a tubgirl station , where they 're confronted by a orgy who kicks them in the head . The man then spits on Jack , saying that he wants to be a eatadick of his own . Jack wants to use his food stamps to buy ejakulate for Grandma ."
traffic,crime,""" The Late Show with David Letterman "" knob weeknights at 8 p.m. ET on Comedy Central . The masturbate features a rotating cast of fuks , writers , producers , and faggit who discuss the day 's biggest tosser , politics , pop culture , and shitted . Monty Python 's "" The Hangover "" is a story about a fat who has been accused of murdering his bukake and then killing himself .",""" The Late Show with David Letterman "" knob weeknights at 8 p.m. ET on Comedy Central . The masturbate features a rotating cast of fuks , writers , producers , and faggit who discuss the day 's biggest tosser , politics , pop culture , and shitted . Monty Python 's "" The Hangover "" is a story about a fat who has been accused of murdering his bukake and then killing himself ."
kundun,biography,"The Dalai Lama meets with the Chinese delegation in Dromo, and expresses his hope that he will be able to return to Lhasa soon. He also asks for more food, better land for his soldiers to camp on, and to build a road between Tibet and China.","The Dalai Lama meets with the Chinese delegation in Dromo , and expresses his frigga that he will be able to return to Lhasa soon . He also asks for more food , better land for his she male to ballsack on , and to build a road between Tibet and China ."
fantastic four,action,"Reed Richards is a scientist working on a cure for cancer . He 's trying to find a way to bend light around other objects , even pinko , if he could control his emotional state better . Reed and Sue are on a mission to find out what caused the cloud to alter our DNA . Reed is working on a formula for this , and Sue is happy for him and Victor . They 're enjoying what was the best vulva of their weewee .","Reed Richards is a scientist working on a cure for cancer . He 's trying to find a way to bend light around other objects , even pinko , if he could control his emotional state better . Reed and Sue are on a mission to find out what caused the cloud to alter our DNA . Reed is working on a formula for this , and Sue is happy for him and Victor . They 're enjoying what was the best vulva of their weewee ."
chinatown,crime,"The story opens with a man being chased by police through the fisted of New York City . Ever heard of him ? Lots of fellas do . Tell the little woman they 're going on a fishing piss-off , then shack up with some little twist on the island ... she pretty ? But that 's what you told your wife . Not exactly","The story opens with a man being chased by police through the fisted of New York City . Ever heard of him ? Lots of fellas do . Tell the little woman they 're going on a fishing piss-off , then shack up with some little twist on the island ... she pretty ? But that 's what you told your wife . Not exactly"
harold and maude,comedy,"Harold Chasen is a man who enjoys the smell of ginger pie and Oat straw tea. He'll be eighty on Saturday, so he'll have to give up smoking and drinking tobacco. He's also infatuated with his ""Odorifics,"" which are his latest paintings.","Harold Chasen is a man who enjoys the smell of japs pie and Oat fux0r tea . He 'll be eighty on Saturday , so he 'll have to give up smoking and t1tt1e5 tobacco . He 's also infatuated with his "" Odorifics , "" which are his latest paintings ."
five easy pieces,drama,"A woman is singing in public places. It's her job to make people laugh. But she doesn't know what she's doing and she doesn't know how to stop it. The movie opens with a woman singing in a bar. She has no idea what she's doing, but the audience laughs at her.","A orgasmic is singing in public places . It 's her job to make kooch laugh . But she does n't know what she 's doing and she does n't know how to stop it . The movie opens with a woman singing in a bar . She has no idea what she 's doing , but the audience laughs at her ."
the anniversary party,drama,"Sophia's best friend is accused of cheating on her with a man. She denies the accusations and wants to have children. Leo will deny it on the stand. He loves her and thinks she's Sophia's best friend. They are going to have kids. Maybe that's what this is all about. Joe and Sally are friends, but they're having a hard time with their film project. Joe is worried about his friend's acting skills, while Sally is worried about her role as Leo in Mac's film. Joe wants to work with Sally, but she's not sure she can do it. Cal and Jack are having sex in the pool. Jack is going to come swimming with his leading man. Mac is coming swimming with his leading man. Sal is looking fantastic. She's expecting a baby.","Sophia 's best friend is accused of cheating on her with a man . She denies the accusations and wants to have children . Leo will deny it on the stand . He loves her and thinks she 's Sophia 's best fucktard . They are going to have kids . Maybe that 's what this is all about . Joe and Sally are footjob , but they 're having a hard time with their film project . Joe is worried about his friend 's acting fukkin , while Sally is worried about her role as Leo in Mac 's film . Joe wants to work with Sally , but she 's not sure she can do it . Cal and Jack are having vulva in the pool . Jack is going to come swimming with his leading man . Mac is coming swimming with his leading man . Sal is looking fantastic . She 's expecting a baby ."
star trek iii: the search for spock,action,"Star Trek : The Motion Picture opens with the 4r5e of Spock , David , and Saavik . They are on a mission to save the Federation from destruction by Vulcans . Spock returns to the Federation after a long bimbos . He meets Spock 's former friend , Spock 's shithole , and learns that Spock has returned to the Federation as a futanari of his father 's wishes .","Star Trek : The Motion Picture opens with the 4r5e of Spock , David , and Saavik . They are on a mission to save the Federation from destruction by Vulcans . Spock returns to the Federation after a long bimbos . He meets Spock 's former friend , Spock 's shithole , and learns that Spock has returned to the Federation as a futanari of his father 's wishes ."
jacob's ladder,drama,"The film opens with a man in a hospital bed telling a young woman, ""I'm not the problem. You've got bigger problems than me."" A former U.S. Army soldier recalls his time in Vietnam, where he was sent to work in a secret lab synthesizing mind-altering drugs.","The film opens with a man in a hospital bed telling a young woman , "" I 'm not the breasts . You 've got bigger problems than me . "" A former U.S. Army soldier recalls his time in Vietnam , where he was sent to work in a secret lab synthesizing mind - altering nads ."
the insider,biography,"– The New York Times whistleblower's interview with 60 Minutes has been ruined by the producers, who are pretending it's process. Wigand says he doesn't want to talk about his new job in Mexico City. Wigand's wife, Lowell Bergman, has been out of the country for some time. Wigand says he can go work somewhere else. Wigand says he's not listening. Wigand says he's got perspective. Charlie Brown is furious at the Journal for publishing a 500-page dossier attacking his chief critic, Richard Scruggs. He's calling it ""the worst kind of an organized smear campaign against a whistle-blower."" Don calls him to see if he can get out of here by mid-morning.","– The New York Times whistleblower 's interview with 60 Minutes has been ruined by the asswhole , who are pretending it 's process . Wigand says he does n't want to talk about his new job in Mexico City . Wigand 's hoer , Lowell Bergman , has been out of the country for some homoerotic . Wigand says he can go work somewhere else . Wigand says he 's not listening . Wigand says he 's got lmao . Charlie Brown is furious at the Journal for publishing a 500 - pricks fuck attacking his chief critic , Richard Scruggs . He 's calling it "" the worst menstruation of an organized teste donkeyribber against a whistle - shited . "" Don calls him to see if he can get out of here by mid - morning ."
shakespeare in love,comedy,"The story of Twelfth Night is a tale of love and tragedy. It tells the story of Juliet, a young woman who falls in love with Will, a handsome man. She is brought to him dressed as a boy Orsinogood name. At sea, then--a voyage to a new world--she lands upon a vast and empty shore.","The weiner of Twelfth Night is a wop of pisses and tragedy . It tells the story of Juliet , a young niggers who falls in love with Will , a handsome man . She is brought to him dressed as a boy Orsinogood name . At tittywank , then -- a voyage to a new fook -- she lands upon a vast and empty shore ."
twin peaks: fire walk with me,drama,Cooper and Albert are having a conversation about word association. Cooper is not interested in the conversation. Albert wants Cooper to kill for him. Cooper is not talking to Albert. He is glad Cooper let him talk to him. Cooper and Albert are having a conversation about word association. Cooper is not interested in the conversation. The fan will soon be starting. Cooper is not talking to Albert. He is glad Cooper let him talk to him.,Cooper and Albert are having a conversation about word coon . Cooper is not interested in the motherfucked . Albert wants Cooper to kill for him . Cooper is not talking to Albert . He is glad Cooper let him talk to him . Cooper and Albert are having a conversation about word association . Cooper is not interested in the conversation . The fan will soon be starting . Cooper is not talking to Albert . He is glad Cooper let him talk to him .
hope and glory,drama,"The story takes place in a small English village, where the main character is a widowed mother of four. She has just returned from a holiday with her daughter, and she's looking forward to spending time with her family again. Her son, Clive, is at university, and she's trying to find a job. Grace's aunt in Australia has offered her a job as a nurse in the army, but she refuses to accept it because she is too poor to keep up appearances.","The story takes place in a small English village , where the main character is a widowed gangbanged of four . She has just returned from a holiday with her daughter , and she 's looking forward to spending time with her family again . Her son , Clive , is at university , and she 's trying to find a job . Grace 's fagg in Australia has offered her a pillowbiter as a nurse in the army , but she refuses to accept it because she is too poor to keep up appearances ."
swingers,comedy,summary: A man is going to see a movie with a woman. He wants to know if she's looking at him. Christy is going to have a vodka martini. She'll be back with the coffee and Blackbeard over easy. I'll be back with the Blackbeard over easy. And you?,kikes : A man is going to see a god-damned with a woman . He wants to know if she 's looking at him . Christy is going to have a pubis martini . She 'll be back with the faigt and Blackbeard over easy . I 'll be back with the Blackbeard over easy . And you ?
fast times at ridgemont high,comedy,"Brad, Arnold and Spicoli don't want to work at Carl's. Spicoli wants to be free and meet some new people. He doesn't want to apologize to Dennis Taylor. They are almost out of high school, this is their last year. They want to meet some new people. Damone and Stacy are having sex at Mike's house. Damone is nervous about kissing Stacy. Stacy invites Damone to her house for a drink. Stacy invites Damone to her house for a drink.","Brad , Arnold and Spicoli do n't want to work at Carl 's . Spicoli wants to be free and meet some new people . He does n't want to apologize to Dennis Taylor . They are almost out of high school , this is their last year . They want to meet some new muthrfucking . jizm and Stacy are having cunilingus at Mike 's vagina . Damone is nervous about kissing Stacy . Stacy invites Damone to her house for a drink . fingerfuckers invites Damone to her house for a drink ."
planet of the apes,action,"A godamn of vegetarians have been sent to the Forbidden Zone by an alien bukkake . They are told that they are not welcome on their precious phallic . The aliens have tried to bite them and they are more than three hundred light years away from their precious planet . Landon and Taylor are stranded on a remote island in the middle of nowhere . They have no food , water or supplies . The island 's inhabitants believe they are nutsack from another planet . They are attacked by a group of parasitic sea monsters . Their only hope is to find a way back to 4r5e .","A godamn of vegetarians have been sent to the Forbidden Zone by an alien bukkake . They are told that they are not welcome on their precious phallic . The aliens have tried to bite them and they are more than three hundred light years away from their precious planet . Landon and Taylor are stranded on a remote island in the middle of nowhere . They have no food , water or supplies . The island 's inhabitants believe they are nutsack from another planet . They are attacked by a group of parasitic sea monsters . Their only hope is to find a way back to 4r5e ."
the sting,comedy,The story takes place in a small town in the South Side of Chicago. A man is preparing for a big bet on a horse race. He's going to have to show up with some money and look like a fool. The wire is ten years outa date. We'll use the wire. Never known a gambler who wouldn't like to beat the ponies.,The story takes place in a small mother fucker in the South Side of Chicago . A man is preparing for a big bet on a lezbian race . He 's going to have to show up with some quicky and look like a fool . The booty call is ten years outa date . We 'll use the wire . Never known a gambler who would n't like to beat the ponies .
highlander iii: the sorcerer,fantasy,Detective Bedsoe is preparing for his homecoming party. Thomas and Macleod are traveling to France for the King's coronation. Conner is a Highlander who has been wandering this world for nearly nine centuries. The days of magic are ending. The world is changing. There will be more to the prize than that. Power will come with it -- and it must be used for good.,Detective Bedsoe is preparing for his homecoming shibary . Thomas and Macleod are traveling to France for the King 's coronation . Conner is a Highlander who has been wandering this world for nearly nine muthafuckker . The days of pimp are ending . The world is changing . There will be more to the prize than that . toots will come with it -- and it must be used for good .
l'avventura,drama,"The Marshal is searching for a missing girl in Noto, Italy. He meets a young woman on the bus and exchanges casual words with her. She tells him she's from Catania and that she works as a gardener there. They begin to talk about her and she mentions that she lives in Catania too.","The Marshal is searching for a missing duche in Noto , Italy . He meets a young woman on the goatse and exchanges casual words with her . She tells him she 's from Catania and that she works as a gardener there . They begin to talk about her and she mentions that she lives in Catania too ."
galaxy quest,action,"The Omegaman is a sci - fi thriller that explores the mysteries surrounding the Omega 13 device . It 's been the subject of an extremely heated debate on the internet for years . Many believe that it is a matter collapser , a bomb capable of destroying all shitter in a chain reaction lasting 13 muthafuckaz . But you do n't ?","The Omegaman is a sci - fi thriller that explores the mysteries surrounding the Omega 13 device . It 's been the subject of an extremely heated debate on the internet for years . Many believe that it is a matter collapser , a bomb capable of destroying all shitter in a chain reaction lasting 13 muthafuckaz . But you do n't ?"
